condition,run,exit_code,tests,wall_seconds,input_tokens,output_tokens,cache_read_tokens,total_cost_usd,tool_uses,pv_invocations,changed_files,extra_files,missing_required
with-pv-forced,run-01,0,PASS,76,13,4156,213661,0.1796873,18,3,2,0,0
with-pv-forced,run-02,0,PASS,88,15,5575,278331,0.20379429999999998,23,4,2,0,0
with-pv-v3,run-01,0,PASS,75,15,4302,268983,0.19907365,19,1,2,0,0
with-pv-v3,run-02,0,PASS,86,10,2251,117760,0.19557714999999998,37,0
0,2,0,0
without-pv,run-01,0,PASS,95,12,3052,167090,0.24983275,52,0
0,2,0,0
without-pv,run-02,0,PASS,112,11,4163,154494,0.20100890000000002,36,0
0,2,0,0
